,season,Lg,Team,W,L,W_L_Pct,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top_WS,TRtg,WP82G
51,1971-72,NBA,Atlanta Hawks*,36,46,0.439,2nd of 4,-1.94,110.7,-1.3,98.7,0.8,100.3,2.4,Lost E. Conf. Semis,R. Guerin (36-46),"W. Bellamy ,10.3",-1.5999999999999943,35.998
52,1970-71,NBA,Atlanta Hawks*,36,46,0.439,2nd of 4,-1.3,117.2,2.1,96.9,-0.3,98.4,1.2,Lost E. Conf. Semis,R. Guerin (36-46),"L. Hudson ,7.9",-1.5,35.998
53,1969-70,NBA,Atlanta Hawks*,48,34,0.585,1st of 7,0.31,114.4,-2.7,102.3,3.3,101.9,2.9,Lost W. Div. Finals,R. Guerin (48-34),"L. Hudson ,11.1",0.3999999999999915,47.97
54,1968-69,NBA,Atlanta Hawks*,48,34,0.585,2nd of 7,2.06,113.9,-3.0,97.4,1.9,95.5,0.0,Lost W. Div. Finals,R. Guerin (48-34),"L. Hudson ,10.1",1.9000000000000057,47.97
55,1967-68,NBA,St. Louis Hawks*,56,26,0.683,1st of 6,2.37,113.7,-6.1,98.4,1.6,96.0,-0.8,Lost W. Div. Semis,R. Guerin (56-26),"Z. Beaty ,11.8",2.4000000000000057,56.00600000000001
56,1966-67,NBA,St. Louis Hawks*,39,42,0.481,2nd of 5,-1.44,117.7,-3.9,96.1,0.0,97.4,1.3,Lost W. Div. Finals,R. Guerin (39-42),"L. Wilkens ,7.6",-1.3000000000000114,39.442
57,1965-66,NBA,St. Louis Hawks*,36,44,0.45,3rd of 5,-0.5,116.6,-4.8,95.6,0.7,96.1,1.2,Lost W. Div. Finals,R. Guerin (36-44),"Z. Beaty ,10.3",-0.5,36.9
58,1964-65,NBA,St. Louis Hawks*,45,35,0.563,2nd of 5,2.68,115.1,-2.2,94.5,0.9,91.8,-1.8,Lost W. Div. Semis,"H. Gallatin (17-16), R. Guerin (28-19)","Z. Beaty ,10.8",2.700000000000003,46.166
59,1963-64,NBA,St. Louis Hawks*,46,34,0.575,2nd of 5,1.39,114.6,1.4,95.4,0.8,94.0,-0.6,Lost W. Div. Finals,H. Gallatin (46-34),"B. Pettit ,14.9",1.4000000000000057,47.15
60,1962-63,NBA,St. Louis Hawks*,48,32,0.6,2nd of 5,1.38,115.6,0.6,94.8,-1.1,93.3,-2.6,Lost W. Div. Finals,H. Gallatin (48-32),"B. Pettit ,14.3",1.5,49.199999999999996
